              datasetid  iteration         time   gevals         F
            a9a_0.1_0.1      556.0    16.967996    557.0  0.513225
     australian_0.1_0.1       79.0     1.129856     80.0  0.667209
  breast_cancer_0.1_0.1      258.0     4.207452    259.0  0.308645
   colon_cancer_0.1_0.1    26154.0  2164.144517  26155.0  0.322541
           duke_0.1_0.1        inf          inf      inf  0.251590
   german_numer_0.1_0.1      312.0     4.745311    313.0  0.557938
          heart_0.1_0.1     1443.0    27.195690   1444.0  0.640505
         ijcnn1_0.1_0.1      448.0    16.689823    449.0  0.379714
     ionosphere_0.1_0.1      414.0     6.905401    415.0  0.528899
            leu_0.1_0.1        inf          inf      inf  0.255445
      mushrooms_0.1_0.1     2779.0    59.578067   2780.0  0.275824
       phishing_0.1_0.1     7115.0   171.407482   7116.0  0.378693
         splice_0.1_0.1       51.0     0.859127     52.0  0.558178
          sonar_0.1_0.1     3947.0    71.377621   3948.0  0.495929
      svmguide1_0.1_0.1       60.0     1.029964     61.0  0.611728
      svmguide3_0.1_0.1      346.0     5.787092    347.0  0.591125
            w8a_0.1_0.1      906.0    36.438657    907.0  0.413094
            a9a_0.3_0.1      778.0    26.906070    779.0  0.509050
     australian_0.3_0.1       78.0     1.165551     79.0  0.667215
  breast_cancer_0.3_0.1      826.0    13.207251    827.0  0.308081
   colon_cancer_0.3_0.1        inf          inf      inf  0.342055
           duke_0.3_0.1        inf          inf      inf  0.268526
   german_numer_0.3_0.1      618.0    10.842242    619.0  0.549095
          heart_0.3_0.1      908.0    15.453062    909.0  0.652485
         ijcnn1_0.3_0.1      321.0     9.827058    322.0  0.440299
     ionosphere_0.3_0.1      592.0    10.741389    593.0  0.535525
            leu_0.3_0.1        inf          inf      inf  0.263692
      mushrooms_0.3_0.1     5194.0   144.574513   5195.0  0.292419
       phishing_0.3_0.1     5004.0   133.259918   5005.0  0.380468
         splice_0.3_0.1       49.0     0.993151     50.0  0.568281
          sonar_0.3_0.1     6276.0   136.010749   6277.0  0.532877
      svmguide3_0.3_0.1      105.0     1.691515    106.0  0.602320
            w8a_0.3_0.1     1203.0    62.961091   1204.0  0.436480
            a9a_0.5_0.1     1295.0    50.706268   1296.0  0.515341
     australian_0.5_0.1       78.0     1.255044     79.0  0.667213
  breast_cancer_0.5_0.1      427.0     7.274071    428.0  0.311962
   colon_cancer_0.5_0.1        inf          inf      inf  0.340710
           duke_0.5_0.1        inf          inf      inf  0.266096
   german_numer_0.5_0.1      664.0    12.646961    665.0  0.556484
          heart_0.5_0.1     1177.0    21.112296   1178.0  0.649560
         ijcnn1_0.5_0.1      285.0     8.868049    286.0  0.440074
     ionosphere_0.5_0.1      638.0    12.799292    639.0  0.520976
            leu_0.5_0.1        inf          inf      inf  0.255360
      mushrooms_0.5_0.1     3880.0   124.875542   3881.0  0.297735
       phishing_0.5_0.1     5245.0   155.786635   5246.0  0.379189
         splice_0.5_0.1       53.0     1.204113     54.0  0.574116
          sonar_0.5_0.1     4950.0   122.973563   4951.0  0.534946
      svmguide1_0.5_0.1       60.0     1.010786     61.0  0.611728
      svmguide3_0.5_0.1     1371.0    26.596121   1372.0  0.604322
            w8a_0.5_0.1      882.0    57.274366    883.0  0.435340
           a9a_0.1_0.01     6604.0   197.345876   6605.0  0.366359
    australian_0.1_0.01      672.0    10.003559    673.0  0.635920
 breast_cancer_0.1_0.01     3069.0    50.101332   3070.0  0.120152
  colon_cancer_0.1_0.01        inf          inf      inf  0.065799
          duke_0.1_0.01        inf          inf      inf  0.050896
  german_numer_0.1_0.01     1660.0    25.040077   1661.0  0.482899
         heart_0.1_0.01        inf          inf      inf  0.504191
        ijcnn1_0.1_0.01     1894.0    54.046514   1895.0  0.216884
    ionosphere_0.1_0.01     4008.0    68.811461   4009.0  0.352727
           leu_0.1_0.01        inf          inf      inf  0.048655
     mushrooms_0.1_0.01    27918.0   660.774582  27919.0  0.069667
      phishing_0.1_0.01    53812.0  1383.766592  53813.0  0.187676
        splice_0.1_0.01       94.0     1.648494     95.0  0.505879
         sonar_0.1_0.01    90732.0  1833.490157  90733.0  0.280333
     svmguide1_0.1_0.01      448.0     7.662893    449.0  0.593795
     svmguide3_0.1_0.01    10877.0   198.991709  10878.0  0.514911
           w8a_0.1_0.01     6283.0   272.522009   6284.0  0.225432
           a9a_0.3_0.01     5837.0   215.343773   5838.0  0.366668
    australian_0.3_0.01      672.0    10.809008    673.0  0.635922
 breast_cancer_0.3_0.01     3106.0    56.575039   3107.0  0.119695
  colon_cancer_0.3_0.01        inf          inf      inf  0.073173
          duke_0.3_0.01        inf          inf      inf  0.056531
  german_numer_0.3_0.01     1906.0    35.359156   1907.0  0.482090
         heart_0.3_0.01    74292.0  1429.186918  74293.0  0.538244
        ijcnn1_0.3_0.01     1260.0    37.326515   1261.0  0.241651
    ionosphere_0.3_0.01     3420.0    64.622607   3421.0  0.360701
           leu_0.3_0.01        inf          inf      inf  0.053563
     mushrooms_0.3_0.01    32880.0   959.055959  32881.0  0.072264
      phishing_0.3_0.01        inf          inf      inf  0.196469
        splice_0.3_0.01       91.0     1.824678     92.0  0.508762
         sonar_0.3_0.01    73102.0  1751.406372  73103.0  0.302595
     svmguide1_0.3_0.01      448.0     7.951343    449.0  0.593795
     svmguide3_0.3_0.01     9521.0   186.577460   9522.0  0.527165
           w8a_0.3_0.01     7767.0   438.732232   7768.0  0.246314
           a9a_0.5_0.01     6963.0   292.091500   6964.0  0.368833
    australian_0.5_0.01      680.0    10.632225    681.0  0.635956
 breast_cancer_0.5_0.01     2602.0    47.056620   2603.0  0.121640
  colon_cancer_0.5_0.01        inf          inf      inf  0.073130
          duke_0.5_0.01        inf          inf      inf  0.058205
  german_numer_0.5_0.01     1892.0    37.080197   1893.0  0.483284
         heart_0.5_0.01    85868.0  1745.561445  85869.0  0.533699
        ijcnn1_0.5_0.01     1342.0    41.701219   1343.0  0.242286
    ionosphere_0.5_0.01     4162.0    87.266632   4163.0  0.355765
           leu_0.5_0.01        inf          inf      inf  0.052795
     mushrooms_0.5_0.01    46738.0  1626.344390  46739.0  0.074061
      phishing_0.5_0.01        inf          inf      inf  0.197006
        splice_0.5_0.01       91.0     2.039522     92.0  0.510237
         sonar_0.5_0.01    74141.0  1966.671445  74142.0  0.302580
     svmguide1_0.5_0.01      448.0     8.069942    449.0  0.593795
     svmguide3_0.5_0.01     6537.0   139.796261   6538.0  0.525766
           w8a_0.5_0.01     6715.0   448.330054   6716.0  0.245185
