              datasetid  iteration         time   gevals         F
            a9a_0.1_0.1      556.0    16.901243    557.0  0.513225
     australian_0.1_0.1       79.0     1.104663     80.0  0.667209
  breast_cancer_0.1_0.1      258.0     4.101329    259.0  0.308645
   colon_cancer_0.1_0.1    26154.0  2121.539607  26155.0  0.322541
           duke_0.1_0.1        inf          inf      inf  0.251609
   german_numer_0.1_0.1      312.0     4.732741    313.0  0.557938
          heart_0.1_0.1     1443.0    24.309461   1444.0  0.640505
         ijcnn1_0.1_0.1      448.0    12.292603    449.0  0.379714
     ionosphere_0.1_0.1      414.0     6.813860    415.0  0.528899
            leu_0.1_0.1        inf          inf      inf  0.255438
      mushrooms_0.1_0.1     2779.0    58.930203   2780.0  0.275824
       phishing_0.1_0.1     7115.0   169.570019   7116.0  0.378693
         splice_0.1_0.1       51.0     0.876790     52.0  0.558178
          sonar_0.1_0.1     3947.0    70.434985   3948.0  0.495929
      svmguide1_0.1_0.1       60.0     0.975864     61.0  0.611728
      svmguide3_0.1_0.1      346.0     5.699160    347.0  0.591125
            w8a_0.1_0.1      906.0    36.451112    907.0  0.413094
            a9a_0.3_0.1      778.0    26.901456    779.0  0.509050
     australian_0.3_0.1       78.0     1.161777     79.0  0.667215
  breast_cancer_0.3_0.1      826.0    13.140013    827.0  0.308081
   colon_cancer_0.3_0.1        inf          inf      inf  0.342054
           duke_0.3_0.1        inf          inf      inf  0.268427
   german_numer_0.3_0.1      618.0    10.818719    619.0  0.549095
          heart_0.3_0.1      908.0    15.154479    909.0  0.652485
         ijcnn1_0.3_0.1      321.0     9.643358    322.0  0.440299
     ionosphere_0.3_0.1      592.0    11.010244    593.0  0.535525
            leu_0.3_0.1        inf          inf      inf  0.263620
      mushrooms_0.3_0.1     5194.0   142.535493   5195.0  0.292419
       phishing_0.3_0.1     5004.0   131.218061   5005.0  0.380468
         splice_0.3_0.1       49.0     0.956285     50.0  0.568281
          sonar_0.3_0.1     6276.0   134.301333   6277.0  0.532877
      svmguide1_0.3_0.1       60.0     0.968086     61.0  0.611728
      svmguide3_0.3_0.1      105.0     1.642851    106.0  0.602320
            w8a_0.3_0.1     1203.0    62.887498   1204.0  0.436480
            a9a_0.5_0.1     1295.0    50.084562   1296.0  0.515341
     australian_0.5_0.1       78.0     1.223853     79.0  0.667213
  breast_cancer_0.5_0.1      427.0     7.320834    428.0  0.311962
   colon_cancer_0.5_0.1        inf          inf      inf  0.340708
           duke_0.5_0.1        inf          inf      inf  0.265902
   german_numer_0.5_0.1      664.0    12.293379    665.0  0.556484
          heart_0.5_0.1     1177.0    20.443007   1178.0  0.649560
         ijcnn1_0.5_0.1      285.0     8.876979    286.0  0.440074
     ionosphere_0.5_0.1      638.0    12.855813    639.0  0.520976
            leu_0.5_0.1        inf          inf      inf  0.255228
      mushrooms_0.5_0.1     3880.0   123.534743   3881.0  0.297735
       phishing_0.5_0.1     5245.0   153.242157   5246.0  0.379189
