              datasetid  iteration         time   gevals         F
            a9a_0.1_0.1      556.0    17.292855    557.0  0.513225
     australian_0.1_0.1       79.0     1.144919     80.0  0.667209
  breast_cancer_0.1_0.1      257.0     4.197635    258.0  0.308645
   colon_cancer_0.1_0.1    26155.0  2566.290457  26156.0  0.322541
           duke_0.1_0.1        inf          inf      inf  0.253375
   german_numer_0.1_0.1      312.0     4.810023    313.0  0.557938
          heart_0.1_0.1     1444.0    28.357010   1445.0  0.640505
         ijcnn1_0.1_0.1      448.0    12.827597    449.0  0.379714
     ionosphere_0.1_0.1      414.0     7.112157    415.0  0.528899
            leu_0.1_0.1        inf          inf      inf  0.256009
      mushrooms_0.1_0.1     2779.0    64.053689   2780.0  0.275824
       phishing_0.1_0.1     7117.0   179.966257   7118.0  0.378693
         splice_0.1_0.1       51.0     0.915269     52.0  0.558178
          sonar_0.1_0.1     3948.0    79.158772   3949.0  0.495929
      svmguide1_0.1_0.1       60.0     1.068651     61.0  0.611728
      svmguide3_0.1_0.1      346.0     5.836120    347.0  0.591125
            w8a_0.1_0.1      905.0    36.805630    906.0  0.413094
            a9a_0.3_0.1      778.0    27.275832    779.0  0.509050
     australian_0.3_0.1       78.0     1.207904     79.0  0.667215
  breast_cancer_0.3_0.1      826.0    13.917075    827.0  0.308081
   colon_cancer_0.3_0.1        inf          inf      inf  0.342067
           duke_0.3_0.1        inf          inf      inf  0.270760
   german_numer_0.3_0.1      618.0    10.879269    619.0  0.549095
          heart_0.3_0.1      909.0    16.790631    910.0  0.652485
         ijcnn1_0.3_0.1      321.0     9.451279    322.0  0.440299
     ionosphere_0.3_0.1      592.0    10.741384    593.0  0.535525
            leu_0.3_0.1        inf          inf      inf  0.265108
      mushrooms_0.3_0.1     5193.0   150.067187   5194.0  0.292419
       phishing_0.3_0.1     5005.0   138.532637   5006.0  0.380468
         splice_0.3_0.1       49.0     1.018593     50.0  0.568281
          sonar_0.3_0.1     6278.0   151.218466   6279.0  0.532877
      svmguide1_0.3_0.1       60.0     0.991706     61.0  0.611728
      svmguide3_0.3_0.1      105.0     1.689504    106.0  0.602320
            w8a_0.3_0.1     1203.0    61.565819   1204.0  0.436480
            a9a_0.5_0.1     1295.0    51.484248   1296.0  0.515341
     australian_0.5_0.1       78.0     1.273238     79.0  0.667213
  breast_cancer_0.5_0.1      427.0     7.720890    428.0  0.311962
   colon_cancer_0.5_0.1        inf          inf      inf  0.340732
           duke_0.5_0.1        inf          inf      inf  0.268693
   german_numer_0.5_0.1      664.0    12.181654    665.0  0.556484
          heart_0.5_0.1     1178.0    22.994596   1179.0  0.649560
         ijcnn1_0.5_0.1      285.0     8.426193    286.0  0.440074
     ionosphere_0.5_0.1      638.0    12.385848    639.0  0.520976
            leu_0.5_0.1        inf          inf      inf  0.256656
      mushrooms_0.5_0.1     3875.0   125.803572   3876.0  0.297735
       phishing_0.5_0.1     5246.0   158.316935   5247.0  0.379189
         splice_0.5_0.1       53.0     1.134844     54.0  0.574116
          sonar_0.5_0.1     4954.0   128.567646   4955.0  0.534946
      svmguide1_0.5_0.1       60.0     0.987055     61.0  0.611728
      svmguide3_0.5_0.1     1371.0    25.791598   1372.0  0.604322
            w8a_0.5_0.1      882.0    52.367647    883.0  0.435340
           a9a_0.1_0.01     6603.0   211.256835   6604.0  0.366359
    australian_0.1_0.01      668.0    11.003056    669.0  0.635921
 breast_cancer_0.1_0.01     3069.0    54.456109   3070.0  0.120152
  colon_cancer_0.1_0.01        inf          inf      inf  0.066773
          duke_0.1_0.01        inf          inf      inf  0.051996
  german_numer_0.1_0.01     1653.0    25.491720   1654.0  0.482899
         heart_0.1_0.01        inf          inf      inf  0.530967
        ijcnn1_0.1_0.01     1894.0    55.693034   1895.0  0.216884
