              datasetid  iteration         time   gevals         F
            a9a_0.1_0.1      558.0    14.810674    559.0  0.513225
     australian_0.1_0.1       99.0     1.241950    100.0  0.667213
  breast_cancer_0.1_0.1      397.0     4.257797    398.0  0.308645
   colon_cancer_0.1_0.1    26113.0  2441.020074  26114.0  0.322541
           duke_0.1_0.1        inf          inf      inf  0.253027
   german_numer_0.1_0.1      328.0     3.402301    329.0  0.557938
          heart_0.1_0.1     1320.0    20.113092   1321.0  0.640504
         ijcnn1_0.1_0.1      433.0     9.491249    434.0  0.379714
     ionosphere_0.1_0.1      400.0     4.475635    401.0  0.528899
            leu_0.1_0.1        inf          inf      inf  0.255908
      mushrooms_0.1_0.1     2788.0    52.273927   2789.0  0.275824
       phishing_0.1_0.1     7065.0   143.257662   7066.0  0.378693
         splice_0.1_0.1      113.0     1.137200    114.0  0.558178
          sonar_0.1_0.1     3914.0    60.313398   3915.0  0.495929
      svmguide1_0.1_0.1       72.0     0.773318     73.0  0.611728
      svmguide3_0.1_0.1      378.0     3.861561    379.0  0.591125
            w8a_0.1_0.1      933.0    30.689236    934.0  0.413094
            a9a_0.3_0.1      816.0    22.821839    817.0  0.509050
     australian_0.3_0.1      103.0     1.319902    104.0  0.667178
  breast_cancer_0.3_0.1      833.0     9.665227    834.0  0.308081
   colon_cancer_0.3_0.1        inf          inf      inf  0.342065
           duke_0.3_0.1        inf          inf      inf  0.270487
   german_numer_0.3_0.1      640.0     8.238170    641.0  0.549095
          heart_0.3_0.1      781.0    11.552904    782.0  0.652485
         ijcnn1_0.3_0.1      301.0     7.271403    302.0  0.440299
     ionosphere_0.3_0.1      558.0     7.341516    559.0  0.535525
            leu_0.3_0.1        inf          inf      inf  0.264980
      mushrooms_0.3_0.1     5216.0   127.701358   5217.0  0.292419
       phishing_0.3_0.1     5020.0   114.043151   5021.0  0.380468
         splice_0.3_0.1      103.0     1.243993    104.0  0.568281
          sonar_0.3_0.1     6128.0   122.815968   6129.0  0.532877
      svmguide3_0.3_0.1      176.0     1.793497    177.0  0.602320
            w8a_0.3_0.1     1151.0    49.732271   1152.0  0.436480
