                  datasetid  iteration         time   gevals             F
      abalone_scale_0.1_0.1      347.0     6.656437    348.0  1.405892e+01
      bodyfat_scale_0.1_0.1      184.0     2.707066    185.0  1.348848e-01
             cadata_0.1_0.1       99.0     1.048004    100.0  1.080189e+10
     cpusmall_scale_0.1_0.1      546.0     6.418117    547.0  8.156560e+02
         eunite2001_0.1_0.1       79.0     1.112115     80.0  5.600793e+04
      housing_scale_0.1_0.1      423.0     6.198323    424.0  8.781100e+01
           mg_scale_0.1_0.1       77.0     1.170844     78.0  2.400985e-01
          mpg_scale_0.1_0.1      266.0     3.772926    267.0  1.111006e+02
        pyrim_scale_0.1_0.1      363.0     5.822177    364.0  5.899451e-02
     space_ga_scale_0.1_0.1      327.0     5.173103    328.0  9.151141e-02
     blogData_train_0.1_0.1    14879.0   692.821233  14880.0  6.001374e+02
       UJIIndoorLoc_0.1_0.1      789.0    22.233409    790.0  1.351454e+07
          driftData_0.1_0.1      784.0    25.290698    785.0  1.067072e+04
  YearPredictionMSD_0.1_0.1       75.0    30.818665     76.0  4.096377e+05
    triazines_scale_0.1_0.1      280.0     4.669277    281.0  6.361920e-02
         virusShare_0.1_0.1       95.0     9.673581     96.0  1.215846e-01
      abalone_scale_0.3_0.1      347.0     4.945170    348.0  1.405892e+01
      bodyfat_scale_0.3_0.1      265.0     3.781346    266.0  1.249177e-01
             cadata_0.3_0.1       99.0     1.066590    100.0  1.080189e+10
     cpusmall_scale_0.3_0.1     2229.0    38.061023   2230.0  8.112384e+02
         eunite2001_0.3_0.1      228.0     2.591884    229.0  5.677665e+04
      housing_scale_0.3_0.1      305.0     4.563954    306.0  9.275534e+01
           mg_scale_0.3_0.1       77.0     1.208994     78.0  2.400985e-01
          mpg_scale_0.3_0.1      266.0     3.989754    267.0  1.111006e+02
        pyrim_scale_0.3_0.1      615.0    10.606603    616.0  5.933847e-02
     space_ga_scale_0.3_0.1      327.0     5.355915    328.0  9.151141e-02
     blogData_train_0.3_0.1    15345.0   852.005365  15346.0  5.872614e+02
       UJIIndoorLoc_0.3_0.1     1531.0    64.918259   1532.0  1.276704e+07
          driftData_0.3_0.1     1243.0    43.499451   1244.0  1.095830e+04
  YearPredictionMSD_0.3_0.1       76.0    30.267233     77.0  4.081218e+05
    triazines_scale_0.3_0.1     1521.0    28.643837   1522.0  6.126012e-02
         virusShare_0.3_0.1       79.0     8.600532     80.0  1.234469e-01
      abalone_scale_0.5_0.1      119.0     1.641957    120.0  1.367351e+01
      bodyfat_scale_0.5_0.1      169.0     2.708578    170.0  1.184233e-01
             cadata_0.5_0.1       99.0     1.130167    100.0  1.080680e+10
     cpusmall_scale_0.5_0.1     5547.0    94.239172   5548.0  8.099076e+02
         eunite2001_0.5_0.1     2946.0    44.325957   2947.0  5.615878e+04
      housing_scale_0.5_0.1      372.0     5.798076    373.0  9.024408e+01
           mg_scale_0.5_0.1       73.0     1.142734     74.0  2.493571e-01
          mpg_scale_0.5_0.1      879.0    13.560293    880.0  1.162286e+02
        pyrim_scale_0.5_0.1      818.0    14.986010    819.0  5.569103e-02
     space_ga_scale_0.5_0.1      267.0     4.267705    268.0  7.157194e-02
     blogData_train_0.5_0.1        inf          inf      inf  5.852075e+02
       UJIIndoorLoc_0.5_0.1     1582.0    84.989324   1583.0  1.306919e+07
          driftData_0.5_0.1    39173.0  1687.102259  39174.0  1.046233e+04
  YearPredictionMSD_0.5_0.1       76.0    39.463754     77.0  4.078664e+05
    triazines_scale_0.5_0.1     3088.0    67.498686   3089.0  5.616949e-02
         virusShare_0.5_0.1       69.0     7.141536     70.0  1.234073e-01
     abalone_scale_0.1_0.01     1720.0    29.443487   1721.0  4.624549e+00
     bodyfat_scale_0.1_0.01     1693.0    27.416913   1694.0  2.469812e-02
            cadata_0.1_0.01     2907.0    37.072137   2908.0  4.770311e+09
    cpusmall_scale_0.1_0.01     3129.0    50.662825   3130.0  1.554803e+02
        eunite2001_0.1_0.01      674.0     9.320865    675.0  7.972975e+03
     housing_scale_0.1_0.01      838.0    13.105055    839.0  2.322219e+01
          mg_scale_0.1_0.01       97.0     1.514011     98.0  1.890409e-01
         mpg_scale_0.1_0.01      858.0    13.141652    859.0  4.030008e+01
       pyrim_scale_0.1_0.01     1030.0    17.082550   1031.0  1.110598e-02
    space_ga_scale_0.1_0.01     3448.0    60.331649   3449.0  2.785131e-02
    blogData_train_0.1_0.01        inf          inf      inf  4.855181e+02
      UJIIndoorLoc_0.1_0.01     2488.0    75.629240   2489.0  3.734378e+06
         driftData_0.1_0.01    25078.0   879.399083  25079.0  5.113233e+03
 YearPredictionMSD_0.1_0.01      548.0   222.800654    549.0  6.539200e+04
   triazines_scale_0.1_0.01     2088.0    38.290251   2089.0  1.777191e-02
        virusShare_0.1_0.01     3461.0   291.094610   3462.0  6.204451e-02
     abalone_scale_0.3_0.01     1720.0    28.183261   1721.0  4.624549e+00
     bodyfat_scale_0.3_0.01     2314.0    40.048048   2315.0  2.532968e-02
            cadata_0.3_0.01     2907.0    38.061848   2908.0  4.770311e+09
    cpusmall_scale_0.3_0.01     2528.0    41.341766   2529.0  1.514742e+02
        eunite2001_0.3_0.01     1822.0    27.258035   1823.0  8.316677e+03
     housing_scale_0.3_0.01      923.0    14.756280    924.0  2.504636e+01
          mg_scale_0.3_0.01       97.0     1.506460     98.0  1.890409e-01
         mpg_scale_0.3_0.01      858.0    13.635829    859.0  4.030008e+01
       pyrim_scale_0.3_0.01     2101.0    39.970176   2102.0  1.140609e-02
    space_ga_scale_0.3_0.01     3448.0    61.024208   3449.0  2.785131e-02
    blogData_train_0.3_0.01        inf          inf      inf  4.843897e+02
      UJIIndoorLoc_0.3_0.01     4083.0   183.961087   4084.0  3.653556e+06
         driftData_0.3_0.01    28126.0  1038.329680  28127.0  5.231900e+03
 YearPredictionMSD_0.3_0.01      297.0    92.994376    298.0  6.670583e+04
   triazines_scale_0.3_0.01     3441.0    71.740894   3442.0  1.701065e-02
        virusShare_0.3_0.01     4501.0   394.455697   4502.0  6.025910e-02
     abalone_scale_0.5_0.01     2420.0    41.460083   2421.0  4.677137e+00
     bodyfat_scale_0.5_0.01     1420.0    25.507528   1421.0  2.455589e-02
            cadata_0.5_0.01     1430.0    17.083021   1431.0  4.845936e+09
    cpusmall_scale_0.5_0.01     5429.0    92.950397   5430.0  1.565864e+02
        eunite2001_0.5_0.01     4464.0    69.366971   4465.0  8.130789e+03
     housing_scale_0.5_0.01      984.0    16.228032    985.0  2.505016e+01
          mg_scale_0.5_0.01       97.0     1.523423     98.0  1.900899e-01
         mpg_scale_0.5_0.01     1159.0    18.502616   1160.0  4.098980e+01
       pyrim_scale_0.5_0.01     2124.0    41.915272   2125.0  1.211374e-02
    space_ga_scale_0.5_0.01     5464.0    98.475087   5465.0  2.630858e-02
    blogData_train_0.5_0.01        inf          inf      inf  4.845606e+02
      UJIIndoorLoc_0.5_0.01     7121.0   425.090205   7122.0  3.721361e+06
         driftData_0.5_0.01    32462.0  1269.028539  32463.0  5.184986e+03
 YearPredictionMSD_0.5_0.01      237.0    74.010135    238.0  6.778007e+04
   triazines_scale_0.5_0.01     3336.0    76.013978   3337.0  1.586925e-02
        virusShare_0.5_0.01     3458.0   334.444949   3459.0  6.238679e-02
