                  datasetid  iteration         time   gevals             F
      abalone_scale_0.1_0.1      352.0     6.648493    353.0  1.405892e+01
      bodyfat_scale_0.1_0.1      184.0     2.688656    185.0  1.348848e-01
             cadata_0.1_0.1       99.0     1.059959    100.0  1.080189e+10
     cpusmall_scale_0.1_0.1      546.0     6.386095    547.0  8.156560e+02
         eunite2001_0.1_0.1       79.0     1.085887     80.0  5.600793e+04
      housing_scale_0.1_0.1      425.0     6.061356    426.0  8.781100e+01
           mg_scale_0.1_0.1       77.0     1.181995     78.0  2.400985e-01
          mpg_scale_0.1_0.1      264.0     3.704096    265.0  1.111006e+02
        pyrim_scale_0.1_0.1      363.0     5.602859    364.0  5.899451e-02
     space_ga_scale_0.1_0.1      327.0     5.086180    328.0  9.151141e-02
     blogData_train_0.1_0.1    14887.0   666.594030  14888.0  6.001374e+02
       UJIIndoorLoc_0.1_0.1      789.0    22.006340    790.0  1.351454e+07
          driftData_0.1_0.1      784.0    24.357692    785.0  1.067072e+04
  YearPredictionMSD_0.1_0.1       75.0    30.716664     76.0  4.096377e+05
    triazines_scale_0.1_0.1      280.0     4.858779    281.0  6.361920e-02
         virusShare_0.1_0.1       95.0     8.850290     96.0  1.215846e-01
      abalone_scale_0.3_0.1      352.0     5.166209    353.0  1.405892e+01
      bodyfat_scale_0.3_0.1      265.0     4.078712    266.0  1.249177e-01
             cadata_0.3_0.1       99.0     1.151989    100.0  1.080189e+10
     cpusmall_scale_0.3_0.1     2226.0    38.588484   2227.0  8.112384e+02
         eunite2001_0.3_0.1      228.0     2.635520    229.0  5.677665e+04
      housing_scale_0.3_0.1      306.0     4.428277    307.0  9.275534e+01
           mg_scale_0.3_0.1       77.0     1.179013     78.0  2.400985e-01
          mpg_scale_0.3_0.1      264.0     3.998022    265.0  1.111006e+02
        pyrim_scale_0.3_0.1      615.0    10.471257    616.0  5.933847e-02
     space_ga_scale_0.3_0.1      327.0     5.154346    328.0  9.151141e-02
     blogData_train_0.3_0.1    15349.0   844.287404  15350.0  5.872614e+02
       UJIIndoorLoc_0.3_0.1     1531.0    67.703416   1532.0  1.276704e+07
          driftData_0.3_0.1     1243.0    43.945810   1244.0  1.095830e+04
  YearPredictionMSD_0.3_0.1       76.0    31.544058     77.0  4.081218e+05
    triazines_scale_0.3_0.1     1521.0    29.159912   1522.0  6.126012e-02
         virusShare_0.3_0.1       79.0     7.976765     80.0  1.234469e-01
      abalone_scale_0.5_0.1       83.0     1.069183     84.0  1.367351e+01
      bodyfat_scale_0.5_0.1      169.0     2.731814    170.0  1.184233e-01
             cadata_0.5_0.1       99.0     1.125295    100.0  1.080680e+10
     cpusmall_scale_0.5_0.1     5547.0    93.783088   5548.0  8.099076e+02
         eunite2001_0.5_0.1     2946.0    43.800227   2947.0  5.615878e+04
      housing_scale_0.5_0.1      372.0     5.788040    373.0  9.024408e+01
           mg_scale_0.5_0.1       73.0     1.170707     74.0  2.493571e-01
          mpg_scale_0.5_0.1      874.0    13.483067    875.0  1.162286e+02
        pyrim_scale_0.5_0.1      818.0    14.776362    819.0  5.569103e-02
     space_ga_scale_0.5_0.1      267.0     4.083610    268.0  7.157194e-02
     blogData_train_0.5_0.1        inf          inf      inf  5.852075e+02
       UJIIndoorLoc_0.5_0.1     1582.0    91.196436   1583.0  1.306919e+07
          driftData_0.5_0.1    39173.0  1707.287554  39174.0  1.046233e+04
