                  datasetid  iteration        time  gevals             F
      abalone_scale_0.1_0.1      344.0    6.783292   345.0  1.405892e+01
      bodyfat_scale_0.1_0.1      183.0    2.676290   184.0  1.348848e-01
             cadata_0.1_0.1        inf         inf     inf  1.080189e+10
     cpusmall_scale_0.1_0.1      545.0    9.049277   546.0  8.156560e+02
         eunite2001_0.1_0.1       79.0    1.258022    80.0  5.600793e+04
      housing_scale_0.1_0.1      422.0    6.796161   423.0  8.781100e+01
           mg_scale_0.1_0.1       77.0    1.229833    78.0  2.400985e-01
          mpg_scale_0.1_0.1      268.0    4.238835   269.0  1.111006e+02
        pyrim_scale_0.1_0.1      363.0    5.992356   364.0  5.899451e-02
     space_ga_scale_0.1_0.1      327.0    5.391785   328.0  9.151141e-02
     blogData_train_0.1_0.1        inf         inf     inf  6.001374e+02
       UJIIndoorLoc_0.1_0.1        inf         inf     inf  1.351454e+07
          driftData_0.1_0.1      784.0   28.591177   785.0  1.067072e+04
  YearPredictionMSD_0.1_0.1       75.0   32.233196    76.0  4.096377e+05
    triazines_scale_0.1_0.1      280.0    4.566641   281.0  6.361920e-02
         virusShare_0.1_0.1       95.0    8.296032    96.0  1.215846e-01
      abalone_scale_0.3_0.1      344.0    5.092421   345.0  1.405892e+01
      bodyfat_scale_0.3_0.1      265.0    3.973634   266.0  1.249177e-01
             cadata_0.3_0.1        inf         inf     inf  1.080189e+10
     cpusmall_scale_0.3_0.1     2232.0   45.235844  2233.0  8.112384e+02
         eunite2001_0.3_0.1      228.0    3.968295   229.0  5.677665e+04
      housing_scale_0.3_0.1      305.0    4.929074   306.0  9.275534e+01
           mg_scale_0.3_0.1       77.0    1.225256    78.0  2.400985e-01
          mpg_scale_0.3_0.1      268.0    4.278494   269.0  1.111006e+02
        pyrim_scale_0.3_0.1      615.0   10.540355   616.0  5.933847e-02
     space_ga_scale_0.3_0.1      327.0    5.349083   328.0  9.151141e-02
     blogData_train_0.3_0.1        inf         inf     inf  5.872615e+02
       UJIIndoorLoc_0.3_0.1        inf         inf     inf  1.276724e+07
          driftData_0.3_0.1     1243.0   52.471157  1244.0  1.095830e+04
  YearPredictionMSD_0.3_0.1       76.0   29.772959    77.0  4.081218e+05
    triazines_scale_0.3_0.1     1521.0   30.201770  1522.0  6.126012e-02
         virusShare_0.3_0.1       79.0    7.872348    80.0  1.234469e-01
      abalone_scale_0.5_0.1      127.0    1.918689   128.0  1.367351e+01
      bodyfat_scale_0.5_0.1      169.0    2.735499   170.0  1.184233e-01
             cadata_0.5_0.1        inf         inf     inf  1.080680e+10
     cpusmall_scale_0.5_0.1     5548.0  124.016098  5549.0  8.099076e+02
         eunite2001_0.5_0.1        inf         inf     inf  5.615878e+04
      housing_scale_0.5_0.1      371.0    6.336756   372.0  9.024408e+01
           mg_scale_0.5_0.1       73.0    1.138299    74.0  2.493571e-01
          mpg_scale_0.5_0.1      884.0   15.437983   885.0  1.162286e+02
        pyrim_scale_0.5_0.1      818.0   15.371645   819.0  5.569103e-02
     space_ga_scale_0.5_0.1      267.0    4.305192   268.0  7.157194e-02
     blogData_train_0.5_0.1        inf         inf     inf  5.852075e+02
       UJIIndoorLoc_0.5_0.1        inf         inf     inf  1.306996e+07
          driftData_0.5_0.1        inf         inf     inf  1.046330e+04
  YearPredictionMSD_0.5_0.1       76.0   31.993007    77.0  4.078664e+05
    triazines_scale_0.5_0.1     3088.0   69.940297  3089.0  5.616949e-02
         virusShare_0.5_0.1       69.0    7.448307    70.0  1.234073e-01
     abalone_scale_0.1_0.01     1776.0   32.992558  1777.0  4.624549e+00
     bodyfat_scale_0.1_0.01     1693.0   28.599532  1694.0  2.469812e-02
            cadata_0.1_0.01        inf         inf     inf  5.693105e+09
    cpusmall_scale_0.1_0.01     3129.0   65.671493  3130.0  1.554803e+02
        eunite2001_0.1_0.01      674.0   12.439394   675.0  7.972975e+03
     housing_scale_0.1_0.01      834.0   14.485066   835.0  2.322219e+01
          mg_scale_0.1_0.01       97.0    1.474423    98.0  1.890409e-01
         mpg_scale_0.1_0.01      889.0   15.202297   890.0  4.030008e+01
       pyrim_scale_0.1_0.01     1030.0   17.354923  1031.0  1.110598e-02
    space_ga_scale_0.1_0.01     3447.0   62.206856  3448.0  2.785131e-02
    blogData_train_0.1_0.01        inf         inf     inf  4.870174e+02
      UJIIndoorLoc_0.1_0.01        inf         inf     inf  3.735396e+06
         driftData_0.1_0.01        inf         inf     inf  5.156241e+03
 YearPredictionMSD_0.1_0.01      549.0  232.379612   550.0  6.539200e+04
   triazines_scale_0.1_0.01     2088.0   40.912372  2089.0  1.777191e-02
        virusShare_0.1_0.01     3462.0  280.059319  3463.0  6.204451e-02
     abalone_scale_0.3_0.01     1776.0   32.135316  1777.0  4.624549e+00
     bodyfat_scale_0.3_0.01     2313.0   42.011997  2314.0  2.532968e-02
            cadata_0.3_0.01        inf         inf     inf  5.693105e+09
    cpusmall_scale_0.3_0.01     2528.0   53.770106  2529.0  1.514742e+02
        eunite2001_0.3_0.01     1822.0   37.755832  1823.0  8.316677e+03
     housing_scale_0.3_0.01      922.0   16.651899   923.0  2.504636e+01
          mg_scale_0.3_0.01       97.0    1.499159    98.0  1.890409e-01
         mpg_scale_0.3_0.01      889.0   15.643966   890.0  4.030008e+01
       pyrim_scale_0.3_0.01     2101.0   40.757071  2102.0  1.140609e-02
    space_ga_scale_0.3_0.01     3447.0   63.925913  3448.0  2.785131e-02
    blogData_train_0.3_0.01        inf         inf     inf  4.859801e+02
      UJIIndoorLoc_0.3_0.01        inf         inf     inf  3.658445e+06
         driftData_0.3_0.01        inf         inf     inf  5.297210e+03
 YearPredictionMSD_0.3_0.01      297.0  121.966244   298.0  6.670583e+04
   triazines_scale_0.3_0.01     3442.0   76.615227  3443.0  1.701065e-02
        virusShare_0.3_0.01     4502.0  461.680346  4503.0  6.025910e-02
     abalone_scale_0.5_0.01     2538.0   48.854860  2539.0  4.677137e+00
     bodyfat_scale_0.5_0.01     1420.0   26.619614  1421.0  2.455589e-02
            cadata_0.5_0.01        inf         inf     inf  5.691344e+09
    cpusmall_scale_0.5_0.01     5429.0  123.344001  5430.0  1.565864e+02
        eunite2001_0.5_0.01        inf         inf     inf  8.130826e+03
     housing_scale_0.5_0.01      982.0   18.727755   983.0  2.505016e+01
          mg_scale_0.5_0.01       97.0    1.537729    98.0  1.900899e-01
         mpg_scale_0.5_0.01     1185.0   21.911005  1186.0  4.098980e+01
       pyrim_scale_0.5_0.01     2124.0   43.040820  2125.0  1.211374e-02
    space_ga_scale_0.5_0.01     5464.0  105.727222  5465.0  2.630858e-02
    blogData_train_0.5_0.01        inf         inf     inf  4.869190e+02
      UJIIndoorLoc_0.5_0.01        inf         inf     inf  3.729056e+06
         driftData_0.5_0.01        inf         inf     inf  5.263551e+03
 YearPredictionMSD_0.5_0.01      237.0   94.054116   238.0  6.778007e+04
   triazines_scale_0.5_0.01     3335.0   78.972456  3336.0  1.586925e-02
        virusShare_0.5_0.01     3458.0  391.895967  3459.0  6.238679e-02
