                  datasetid  iteration        time   gevals             F
      abalone_scale_0.1_0.1      351.0    6.690795    352.0  1.405892e+01
      bodyfat_scale_0.1_0.1      184.0    2.659896    185.0  1.348848e-01
             cadata_0.1_0.1       98.0    1.676460     99.0  1.080189e+10
     cpusmall_scale_0.1_0.1      545.0    8.158124    546.0  8.156560e+02
         eunite2001_0.1_0.1       79.0    1.119617     80.0  5.600793e+04
      housing_scale_0.1_0.1      425.0    6.225980    426.0  8.781100e+01
           mg_scale_0.1_0.1       77.0    1.196840     78.0  2.400985e-01
          mpg_scale_0.1_0.1      266.0    3.928056    267.0  1.111006e+02
        pyrim_scale_0.1_0.1      363.0    5.777107    364.0  5.899451e-02
     space_ga_scale_0.1_0.1      327.0    5.112121    328.0  9.151141e-02
     blogData_train_0.1_0.1    14873.0  794.892361  14874.0  6.001374e+02
       UJIIndoorLoc_0.1_0.1      789.0   32.837167    790.0  1.351454e+07
          driftData_0.1_0.1      784.0   28.553026    785.0  1.067072e+04
  YearPredictionMSD_0.1_0.1       75.0   27.832927     76.0  4.096377e+05
    triazines_scale_0.1_0.1      280.0    4.510852    281.0  6.361920e-02
         virusShare_0.1_0.1       95.0    7.917969     96.0  1.215846e-01
      abalone_scale_0.3_0.1      351.0    5.029672    352.0  1.405892e+01
      bodyfat_scale_0.3_0.1      265.0    3.954468    266.0  1.249177e-01
             cadata_0.3_0.1       98.0    1.800615     99.0  1.080189e+10
     cpusmall_scale_0.3_0.1     2228.0   42.557370   2229.0  8.112384e+02
         eunite2001_0.3_0.1      228.0    3.671592    229.0  5.677665e+04
      housing_scale_0.3_0.1      306.0    4.756847    307.0  9.275534e+01
           mg_scale_0.3_0.1       77.0    1.185872     78.0  2.400985e-01
          mpg_scale_0.3_0.1      266.0    4.044303    267.0  1.111006e+02
        pyrim_scale_0.3_0.1      615.0   10.359604    616.0  5.933847e-02
     space_ga_scale_0.3_0.1      327.0    5.319899    328.0  9.151141e-02
     blogData_train_0.3_0.1    15344.0  971.882476  15345.0  5.872614e+02
       UJIIndoorLoc_0.3_0.1        inf         inf      inf  1.276704e+07
          driftData_0.3_0.1     1243.0   49.181377   1244.0  1.095830e+04
  YearPredictionMSD_0.3_0.1       76.0   31.913516     77.0  4.081218e+05
    triazines_scale_0.3_0.1     1521.0   28.170496   1522.0  6.126012e-02
         virusShare_0.3_0.1       79.0    8.299265     80.0  1.234469e-01
      abalone_scale_0.5_0.1      121.0    1.754966    122.0  1.367351e+01
      bodyfat_scale_0.5_0.1      169.0    2.750760    170.0  1.184233e-01
             cadata_0.5_0.1       98.0    1.902452     99.0  1.080680e+10
     cpusmall_scale_0.5_0.1     5548.0  118.407698   5549.0  8.099076e+02
         eunite2001_0.5_0.1     2946.0   61.711961   2947.0  5.615878e+04
      housing_scale_0.5_0.1      372.0    6.133759    373.0  9.024408e+01
           mg_scale_0.5_0.1       73.0    1.150065     74.0  2.493571e-01
          mpg_scale_0.5_0.1      879.0   14.494689    880.0  1.162286e+02
        pyrim_scale_0.5_0.1      818.0   15.189042    819.0  5.569103e-02
     space_ga_scale_0.5_0.1      267.0    4.263156    268.0  7.157194e-02
     blogData_train_0.5_0.1        inf         inf      inf  5.852075e+02
       UJIIndoorLoc_0.5_0.1        inf         inf      inf  1.306920e+07
          driftData_0.5_0.1        inf         inf      inf  1.046261e+04
  YearPredictionMSD_0.5_0.1       76.0   28.762707     77.0  4.078664e+05
    triazines_scale_0.5_0.1     3088.0   68.180999   3089.0  5.616949e-02
         virusShare_0.5_0.1       69.0    8.033606     70.0  1.234073e-01
     abalone_scale_0.1_0.01     1560.0   27.530088   1561.0  4.624549e+00
     bodyfat_scale_0.1_0.01     1693.0   27.297706   1694.0  2.469812e-02
            cadata_0.1_0.01        inf         inf      inf  5.207523e+09
    cpusmall_scale_0.1_0.01     3129.0   61.034287   3130.0  1.554803e+02
        eunite2001_0.1_0.01      674.0   11.449009    675.0  7.972975e+03
     housing_scale_0.1_0.01      866.0   14.183823    867.0  2.322219e+01
          mg_scale_0.1_0.01       97.0    1.476246     98.0  1.890409e-01
         mpg_scale_0.1_0.01      877.0   14.248264    878.0  4.030008e+01
       pyrim_scale_0.1_0.01     1030.0   16.990156   1031.0  1.110598e-02
    space_ga_scale_0.1_0.01     3448.0   59.622275   3449.0  2.785131e-02
    blogData_train_0.1_0.01        inf         inf      inf  4.859508e+02
      UJIIndoorLoc_0.1_0.01        inf         inf      inf  3.734406e+06
         driftData_0.1_0.01        inf         inf      inf  5.119552e+03
 YearPredictionMSD_0.1_0.01      549.0  228.519755    550.0  6.539200e+04
   triazines_scale_0.1_0.01     2088.0   37.606476   2089.0  1.777191e-02
        virusShare_0.1_0.01     3461.0  293.034696   3462.0  6.204451e-02
     abalone_scale_0.3_0.01     1560.0   26.466813   1561.0  4.624549e+00
     bodyfat_scale_0.3_0.01     2314.0   40.282246   2315.0  2.532968e-02
            cadata_0.3_0.01        inf         inf      inf  5.207523e+09
    cpusmall_scale_0.3_0.01     2528.0   50.120105   2529.0  1.514742e+02
        eunite2001_0.3_0.01     1822.0   35.164942   1823.0  8.316677e+03
     housing_scale_0.3_0.01      929.0   15.626652    930.0  2.504636e+01
          mg_scale_0.3_0.01       97.0    1.513408     98.0  1.890409e-01
         mpg_scale_0.3_0.01      877.0   14.529442    878.0  4.030008e+01
       pyrim_scale_0.3_0.01     2101.0   40.282645   2102.0  1.140609e-02
    space_ga_scale_0.3_0.01     3448.0   61.804293   3449.0  2.785131e-02
    blogData_train_0.3_0.01        inf         inf      inf  4.848202e+02
      UJIIndoorLoc_0.3_0.01        inf         inf      inf  3.654172e+06
         driftData_0.3_0.01        inf         inf      inf  5.247795e+03
 YearPredictionMSD_0.3_0.01      297.0  134.784477    298.0  6.670583e+04
   triazines_scale_0.3_0.01     3441.0   71.579851   3442.0  1.701065e-02
        virusShare_0.3_0.01     4502.0  467.559574   4503.0  6.025910e-02
     abalone_scale_0.5_0.01     1113.0   18.807912   1114.0  4.677137e+00
     bodyfat_scale_0.5_0.01     1420.0   25.601936   1421.0  2.455589e-02
            cadata_0.5_0.01        inf         inf      inf  5.272722e+09
    cpusmall_scale_0.5_0.01     5429.0  116.386649   5430.0  1.565864e+02
        eunite2001_0.5_0.01     4464.0   95.848734   4465.0  8.130789e+03
     housing_scale_0.5_0.01      994.0   17.627765    995.0  2.505016e+01
          mg_scale_0.5_0.01       97.0    1.516197     98.0  1.900899e-01
         mpg_scale_0.5_0.01     1173.0   20.368211   1174.0  4.098980e+01
       pyrim_scale_0.5_0.01     2124.0   42.606236   2125.0  1.211374e-02
    space_ga_scale_0.5_0.01     5464.0   99.359695   5465.0  2.630858e-02
    blogData_train_0.5_0.01        inf         inf      inf  4.849344e+02
      UJIIndoorLoc_0.5_0.01        inf         inf      inf  3.722504e+06
         driftData_0.5_0.01        inf         inf      inf  5.214147e+03
 YearPredictionMSD_0.5_0.01      237.0  112.158583    238.0  6.778007e+04
   triazines_scale_0.5_0.01     3336.0   76.852842   3337.0  1.586925e-02
        virusShare_0.5_0.01     3458.0  396.846704   3459.0  6.238679e-02
