                  datasetid  iteration        time  gevals             F
      abalone_scale_0.1_0.1      345.0    5.372990   346.0  1.405892e+01
      bodyfat_scale_0.1_0.1      191.0    1.799867   192.0  1.348848e-01
             cadata_0.1_0.1        inf         inf     inf  1.080189e+10
     cpusmall_scale_0.1_0.1      545.0    6.951996   546.0  8.156560e+02
         eunite2001_0.1_0.1       79.0    0.907103    80.0  5.600793e+04
      housing_scale_0.1_0.1      422.0    4.844100   423.0  8.781100e+01
           mg_scale_0.1_0.1       95.0    0.820255    96.0  2.400985e-01
          mpg_scale_0.1_0.1      268.0    2.995980   269.0  1.111006e+02
        pyrim_scale_0.1_0.1      458.0    4.952075   459.0  5.899451e-02
     space_ga_scale_0.1_0.1      324.0    3.196717   325.0  9.151141e-02
     blogData_train_0.1_0.1        inf         inf     inf  6.001374e+02
       UJIIndoorLoc_0.1_0.1        inf         inf     inf  1.351454e+07
          driftData_0.1_0.1      784.0   26.228000   785.0  1.067072e+04
  YearPredictionMSD_0.1_0.1       75.0   33.436412    76.0  4.096377e+05
    triazines_scale_0.1_0.1      330.0    3.955326   331.0  6.361922e-02
         virusShare_0.1_0.1      110.0    7.361313   111.0  1.215852e-01
      abalone_scale_0.3_0.1      345.0    3.896664   346.0  1.405892e+01
      bodyfat_scale_0.3_0.1      267.0    2.965560   268.0  1.249177e-01
             cadata_0.3_0.1        inf         inf     inf  1.080189e+10
     cpusmall_scale_0.3_0.1     2232.0   37.242881  2233.0  8.112384e+02
         eunite2001_0.3_0.1      228.0    3.105438   229.0  5.677665e+04
      housing_scale_0.3_0.1      305.0    3.567261   306.0  9.275534e+01
           mg_scale_0.3_0.1       95.0    0.855078    96.0  2.400985e-01
          mpg_scale_0.3_0.1      268.0    3.176671   269.0  1.111006e+02
        pyrim_scale_0.3_0.1      721.0    9.793444   722.0  5.933847e-02
     space_ga_scale_0.3_0.1      324.0    3.503503   325.0  9.151141e-02
     blogData_train_0.3_0.1        inf         inf     inf  5.872615e+02
       UJIIndoorLoc_0.3_0.1        inf         inf     inf  1.276724e+07
          driftData_0.3_0.1     1243.0   48.220950  1244.0  1.095830e+04
  YearPredictionMSD_0.3_0.1       76.0   28.289156    77.0  4.081218e+05
    triazines_scale_0.3_0.1     1475.0   23.583625  1476.0  6.126013e-02
         virusShare_0.3_0.1       99.0    8.584966   100.0  1.234478e-01
      abalone_scale_0.5_0.1      126.0    1.282184   127.0  1.367351e+01
      bodyfat_scale_0.5_0.1      176.0    1.886226   177.0  1.184233e-01
             cadata_0.5_0.1        inf         inf     inf  1.080680e+10
     cpusmall_scale_0.5_0.1     5548.0  103.986840  5549.0  8.099076e+02
         eunite2001_0.5_0.1        inf         inf     inf  5.615878e+04
      housing_scale_0.5_0.1      371.0    4.922558   372.0  9.024408e+01
           mg_scale_0.5_0.1       95.0    0.902892    96.0  2.493571e-01
          mpg_scale_0.5_0.1      884.0   12.388004   885.0  1.162286e+02
        pyrim_scale_0.5_0.1      693.0    9.860404   694.0  5.569103e-02
     space_ga_scale_0.5_0.1      273.0    3.034384   274.0  7.157194e-02
     blogData_train_0.5_0.1        inf         inf     inf  5.852075e+02
       UJIIndoorLoc_0.5_0.1        inf         inf     inf  1.306996e+07
          driftData_0.5_0.1        inf         inf     inf  1.046330e+04
  YearPredictionMSD_0.5_0.1       76.0   31.733306    77.0  4.078664e+05
    triazines_scale_0.5_0.1     3012.0   59.073516  3013.0  5.616949e-02
         virusShare_0.5_0.1       99.0    8.098139   100.0  1.234081e-01
     abalone_scale_0.1_0.01     1776.0   25.506628  1777.0  4.624549e+00
     bodyfat_scale_0.1_0.01     1710.0   21.257433  1711.0  2.469812e-02
            cadata_0.1_0.01        inf         inf     inf  5.693105e+09
    cpusmall_scale_0.1_0.01     3129.0   53.216001  3130.0  1.554803e+02
        eunite2001_0.1_0.01      674.0    9.854097   675.0  7.972975e+03
     housing_scale_0.1_0.01      834.0   11.162617   835.0  2.322219e+01
          mg_scale_0.1_0.01      108.0    0.989753   109.0  1.890409e-01
         mpg_scale_0.1_0.01      889.0   11.581497   890.0  4.030008e+01
       pyrim_scale_0.1_0.01     1717.0   22.523025  1718.0  1.110598e-02
    space_ga_scale_0.1_0.01     3499.0   48.181625  3500.0  2.785131e-02
    blogData_train_0.1_0.01        inf         inf     inf  4.870174e+02
      UJIIndoorLoc_0.1_0.01        inf         inf     inf  3.735396e+06
         driftData_0.1_0.01        inf         inf     inf  5.156241e+03
 YearPredictionMSD_0.1_0.01      549.0  232.160840   550.0  6.539200e+04
   triazines_scale_0.1_0.01     2267.0   35.275882  2268.0  1.777192e-02
        virusShare_0.1_0.01     3446.0  292.986677  3447.0  6.204451e-02
     abalone_scale_0.3_0.01     1776.0   25.878051  1777.0  4.624549e+00
     bodyfat_scale_0.3_0.01     2333.0   32.589365  2334.0  2.532968e-02
            cadata_0.3_0.01        inf         inf     inf  5.693105e+09
    cpusmall_scale_0.3_0.01     2528.0   42.949903  2529.0  1.514742e+02
        eunite2001_0.3_0.01     1822.0   30.586793  1823.0  8.316677e+03
     housing_scale_0.3_0.01      922.0   13.003316   923.0  2.504636e+01
          mg_scale_0.3_0.01      108.0    1.016433   109.0  1.890409e-01
         mpg_scale_0.3_0.01      889.0   12.233707   890.0  4.030008e+01
       pyrim_scale_0.3_0.01     2374.0   36.807809  2375.0  1.140609e-02
    space_ga_scale_0.3_0.01     3499.0   48.755634  3500.0  2.785131e-02
    blogData_train_0.3_0.01        inf         inf     inf  4.859801e+02
      UJIIndoorLoc_0.3_0.01        inf         inf     inf  3.658445e+06
         driftData_0.3_0.01        inf         inf     inf  5.297210e+03
 YearPredictionMSD_0.3_0.01      297.0  127.107207   298.0  6.670583e+04
   triazines_scale_0.3_0.01     3273.0   61.645900  3274.0  1.701063e-02
        virusShare_0.3_0.01     4473.0  410.677168  4474.0  6.025910e-02
     abalone_scale_0.5_0.01     2538.0   38.887176  2539.0  4.677137e+00
     bodyfat_scale_0.5_0.01     1442.0   20.446799  1443.0  2.455589e-02
            cadata_0.5_0.01        inf         inf     inf  5.691344e+09
    cpusmall_scale_0.5_0.01     5429.0  103.896115  5430.0  1.565864e+02
        eunite2001_0.5_0.01        inf         inf     inf  8.130826e+03
     housing_scale_0.5_0.01      982.0   14.385863   983.0  2.505016e+01
          mg_scale_0.5_0.01      108.0    1.035071   109.0  1.900899e-01
         mpg_scale_0.5_0.01     1185.0   16.824234  1186.0  4.098980e+01
       pyrim_scale_0.5_0.01     2832.0   47.030026  2833.0  1.211374e-02
    space_ga_scale_0.5_0.01     5469.0   82.049886  5470.0  2.630858e-02
    blogData_train_0.5_0.01        inf         inf     inf  4.869190e+02
      UJIIndoorLoc_0.5_0.01        inf         inf     inf  3.729056e+06
         driftData_0.5_0.01        inf         inf     inf  5.263551e+03
 YearPredictionMSD_0.5_0.01      237.0   75.584031   238.0  6.778007e+04
   triazines_scale_0.5_0.01     3652.0   76.214053  3653.0  1.586925e-02
        virusShare_0.5_0.01     3439.0  353.471336  3440.0  6.238679e-02
