
================================================================================
       Inexact Proximal Gradient Type Method   (version:0.1 (2021-09-17))  
================================================================================
Problem Summary: Excuted at 2021-10-1 21:41
Dataset:....................................colon_cancer
Data Size:......................................n=62, p=2000
Loss Function:..................................Logistic
Regularizer:....................................Overlapping Group L1
Penalty Parameter:..............................lambda=0.0178
Number of groups:.............................223

Algorithm Parameters:
Termination Conditions: accuracy: 1e-06 | optim scaled: False | time limits:3600.0 | iteration limits:100000
Inexact Strategy: yd: gamma:1.000e-01
Lineserch Parameters: eta:1e-05 | xi:0.5 | beta:1.1
Proximal Stepsize update: heuristic
****************************************************************************************************
 Iters.   Obj.    alphak   |  aoptim   its.   Flag  Stepsize  baks    Gap       tarGap    #pz  #pnz | baks    stepsize  |dtaken| |
     0 6.931e-01 1.000e+00 | 4.200e+00    1 desired 1.000e+00    0 +1.005e-02 +3.744e+00    0   223 |    4   6.250e-02 2.625e-01 |
     1 5.851e-01 8.000e-01 | 7.574e-01    2 desired 1.100e+00    0 +2.222e-02 +8.633e-02    4   219 |    2   2.500e-01 1.893e-01 |
     2 5.220e-01 6.400e-01 | 1.356e+00    1 desired 1.100e+00    0 +3.648e-02 +1.694e-01    1   222 |    4   6.250e-02 8.477e-02 |
     3 4.331e-01 5.120e-01 | 1.910e-01    3 desired 1.331e+00    0 +1.368e-03 +1.554e-03   23   200 |    1   5.000e-01 9.551e-02 |
     4 4.221e-01 4.096e-01 | 3.765e-01    3 desired 1.611e+00    0 +1.701e-04 +1.294e-03    1   222 |    3   1.250e-01 4.706e-02 |
     5 4.041e-01 3.277e-01 | 1.003e-01   10 desired 3.797e+00    0 +8.667e-06 +9.116e-06   14   209 |    2   2.500e-01 2.507e-02 |
     6 3.978e-01 2.621e-01 | 5.968e-02    5 desired 2.527e+00    1 +3.930e-05 +1.055e-04   11   212 |    1   5.000e-01 2.984e-02 |
     7 3.933e-01 2.097e-01 | 5.515e-02    3 desired 3.058e+00    0 +1.592e-04 +3.352e-04   24   199 |    1   5.000e-01 2.758e-02 |
     8 3.908e-01 1.678e-01 | 5.917e-02    2 desired 3.364e+00    0 +8.329e-04 +9.170e-04   18   205 |    1   5.000e-01 2.959e-02 |
     9 3.898e-01 1.342e-01 | 5.160e-02    2 desired 3.700e+00    0 +1.073e-03 +1.356e-03   34   189 |    1   5.000e-01 2.580e-02 |
    10 3.860e-01 1.074e-01 | 3.430e-02    2 desired 4.070e+00    0 +9.525e-04 +1.039e-03   26   197 |    1   5.000e-01 1.715e-02 |
    11 3.834e-01 8.590e-02 | 1.786e-02    2 desired 4.477e+00    0 +2.313e-04 +4.540e-04   39   184 |    0   1.000e+00 1.786e-02 |
    12 3.820e-01 9.449e-02 | 2.577e-02    1 desired 4.477e+00    0 +5.836e-04 +7.767e-04   45   178 |    1   5.000e-01 1.289e-02 |
    13 3.800e-01 7.559e-02 | 1.127e-02    2 desired 4.925e+00    0 +1.634e-04 +2.319e-04   45   178 |    0   1.000e+00 1.127e-02 |
