
================================================================================
       Inexact Proximal Gradient Type Method   (version:0.1 (2021-09-17))  
================================================================================
Problem Summary: Excuted at 2021-10-1 21:42
Dataset:............................................duke
Data Size:......................................n=44, p=7129
Loss Function:..................................Logistic
Regularizer:....................................Overlapping Group L1
Penalty Parameter:..............................lambda=0.0162
Number of groups:.............................792

Algorithm Parameters:
Termination Conditions: accuracy: 1e-06 | optim scaled: False | time limits:3600.0 | iteration limits:100000
Inexact Strategy: yd: gamma:1.000e-01
Lineserch Parameters: eta:1e-05 | xi:0.5 | beta:1.1
Proximal Stepsize update: heuristic
****************************************************************************************************
 Iters.   Obj.    alphak   |  aoptim   its.   Flag  Stepsize  baks    Gap       tarGap    #pz  #pnz | baks    stepsize  |dtaken| |
     0 6.931e-01 1.000e+00 | 5.847e+00    1 desired 1.000e+00    0 +3.641e-02 +7.253e+00    0   792 |    5   3.125e-02 1.827e-01 |
     1 4.632e-01 8.000e-01 | 3.518e+00    1 desired 1.000e+00    0 +8.506e-02 +1.862e+00    0   792 |    6   1.562e-02 5.496e-02 |
     2 4.274e-01 6.400e-01 | 1.383e+00    2 desired 1.100e+00    0 +7.109e-03 +1.762e-01    0   792 |    5   3.125e-02 4.322e-02 |
     3 4.003e-01 5.120e-01 | 4.976e-01    3 desired 1.331e+00    0 +2.357e-03 +1.054e-02   19   773 |    4   6.250e-02 3.110e-02 |
     4 3.919e-01 4.096e-01 | 1.714e-01    8 desired 2.594e+00    0 +2.444e-04 +2.684e-04  104   688 |    2   2.500e-01 4.286e-02 |
     5 3.804e-01 3.277e-01 | 4.298e-01    8 desired 2.297e+00    1 +3.601e-05 +1.675e-04    0   792 |    4   6.250e-02 2.686e-02 |
     6 3.716e-01 2.621e-01 | 1.209e-01    6 desired 3.700e+00    0 +3.754e-04 +4.327e-04  147   645 |    2   2.500e-01 3.022e-02 |
     7 3.568e-01 2.097e-01 | 1.254e-01    6 desired 2.980e+00    1 +2.231e-04 +1.734e-03   41   751 |    3   1.250e-01 1.568e-02 |
     8 3.500e-01 1.678e-01 | 7.782e-02    4 desired 3.966e+00    0 +6.119e-04 +1.586e-03  205   587 |    2   2.500e-01 1.945e-02 |
     9 3.408e-01 1.342e-01 | 6.624e-02    3 desired 4.799e+00    0 +5.988e-04 +2.234e-03  103   689 |    2   2.500e-01 1.656e-02 |
    10 3.368e-01 1.074e-01 | 6.166e-02    3 desired 5.806e+00    0 +8.737e-04 +3.357e-03  112   680 |    2   2.500e-01 1.541e-02 |
    11 3.347e-01 8.590e-02 | 7.526e-02    2 desired 6.387e+00    0 +3.953e-03 +8.063e-03   65   727 |    3   1.250e-01 9.407e-03 |
    12 3.300e-01 6.872e-02 | 3.041e-02    3 desired 7.728e+00    0 +6.008e-04 +2.017e-03  131   661 |    1   5.000e-01 1.521e-02 |
    13 3.273e-01 5.498e-02 | 5.516e-02    1 desired 7.728e+00    0 +9.082e-03 +9.798e-03  100   692 |    2   2.500e-01 1.379e-02 |
