
================================================================================
       Inexact Proximal Gradient Type Method   (version:0.1 (2021-09-17))  
================================================================================
Problem Summary: Excuted at 2021-10-1 21:52
Dataset:.........................................gisette
Data Size:......................................n=6000, p=5000
Loss Function:..................................Logistic
Regularizer:....................................Overlapping Group L1
Penalty Parameter:..............................lambda=0.0120
Number of groups:.............................556

Algorithm Parameters:
Termination Conditions: accuracy: 1e-06 | optim scaled: False | time limits:3600.0 | iteration limits:100000
Inexact Strategy: yd: gamma:1.000e-01
Lineserch Parameters: eta:1e-05 | xi:0.5 | beta:1.1
Proximal Stepsize update: heuristic
****************************************************************************************************
 Iters.   Obj.    alphak   |  aoptim   its.   Flag  Stepsize  baks    Gap       tarGap    #pz  #pnz | baks    stepsize  |dtaken| |
     0 6.931e-01 1.000e+00 | 1.868e+00    1 desired 1.000e+00    0 +3.003e-02 +7.402e-01  113   443 |    4   6.250e-02 1.167e-01 |
     1 6.161e-01 8.000e-01 | 7.071e+00    1 desired 1.000e+00    0 +8.986e-03 +7.526e+00    0   556 |    9   1.953e-03 1.381e-02 |
     2 5.506e-01 6.400e-01 | 5.014e-01    2 desired 1.100e+00    0 +5.241e-03 +2.315e-02  250   306 |    2   2.500e-01 1.253e-01 |
     3 5.383e-01 5.120e-01 | 3.332e+00    1 desired 1.100e+00    0 +1.211e-02 +4.726e-01    0   556 |    8   3.906e-03 1.301e-02 |
     4 4.933e-01 4.096e-01 | 1.142e-01    7 desired 1.949e+00    0 +8.313e-05 +1.191e-04  296   260 |    0   1.000e+00 1.142e-01 |
     5 4.830e-01 4.506e-01 | 1.951e+00    1 desired 1.949e+00    0 +5.763e-03 +7.962e-02    0   556 |    7   7.812e-03 1.524e-02 |
     6 4.721e-01 3.604e-01 | 7.136e-01    3 desired 2.358e+00    0 +4.391e-05 +3.304e-04    0   556 |    6   1.562e-02 1.115e-02 |
     7 4.677e-01 2.884e-01 | 6.301e-01    2 desired 2.594e+00    0 +4.149e-04 +4.746e-03    0   556 |    7   7.812e-03 4.923e-03 |
     8 4.616e-01 2.307e-01 | 4.828e-02    4 desired 3.452e+00    0 +7.795e-05 +1.592e-04  308   248 |    2   2.500e-01 1.207e-02 |
     9 4.603e-01 1.845e-01 | 1.035e-01    2 desired 3.797e+00    0 +1.931e-03 +2.002e-03  132   424 |    4   6.250e-02 6.467e-03 |
    10 4.597e-01 1.476e-01 | 1.275e-01    2 desired 4.177e+00    0 +8.598e-04 +6.339e-03    0   556 |    5   3.125e-02 3.984e-03 |
    11 4.592e-01 1.181e-01 | 3.734e-02    3 desired 5.054e+00    0 +5.791e-04 +9.837e-04  320   236 |    3   1.250e-01 4.668e-03 |
    12 4.590e-01 9.449e-02 | 5.215e-02    2 desired 5.560e+00    0 +2.417e-03 +3.181e-03  131   425 |    4   6.250e-02 3.260e-03 |
    13 4.584e-01 7.559e-02 | 1.905e-02    3 desired 6.727e+00    0 +4.214e-04 +6.633e-04  313   243 |    3   1.250e-01 2.382e-03 |
